[info] Migrando 26 tabelas com concorrência=4...
[progress] agencies iniciando
[progress] agencies 0% iniciando
[progress] commerce_committee_taxes 4% inserindo (41/947)
[progress] cities 0% inserindo (37/5569)
[progress] deadlines 1% inserindo (15/1207)
[progress] alerts 23% inserindo (42/181)
[progress] commerce_committee_taxes 4% inserindo (42/947)
[progress] cities 0% inserindo (38/5569)
[progress] deadlines 1% inserindo (16/1207)
[progress] alerts 24% inserindo (43/181)
[progress] commerce_committee_taxes 4% inserindo (43/947)
[progress] cities 0% inserindo (39/5569)
[progress] deadlines 1% inserindo (17/1207)
[progress] alerts 24% inserindo (44/181)
[progress] cities 0% inserindo (40/5569)
[progress] commerce_committee_taxes 4% inserindo (44/947)
[progress] deadlines 1% inserindo (18/1207)
[progress] alerts 25% inserindo (45/181)
[progress] cities 0% inserindo (41/5569)
[progress] commerce_committee_taxes 4% inserindo (45/947)
[progress] deadlines 1% inserindo (19/1207)
[progress] alerts 25% inserindo (46/181)
[progress] cities 0% inserindo (42/5569)
[progress] commerce_committee_taxes 4% inserindo (46/947)
[progress] alerts 26% inserindo (47/181)
[progress] deadlines 1% inserindo (20/1207)
[progress] cities 0% inserindo (43/5569)
[progress] commerce_committee_taxes 5% inserindo (47/947)
[progress] alerts 27% inserindo (48/181)
[progress] deadlines 1% inserindo (21/1207)
[progress] cities 0% inserindo (44/5569)
[progress] commerce_committee_taxes 5% inserindo (48/947)
[progress] alerts 27% inserindo (49/181)
[progress] deadlines 1% inserindo (22/1207)
[progress] cities 0% inserindo (45/5569)
[progress] commerce_committee_taxes 5% inserindo (49/947)
[progress] alerts 28% inserindo (50/181)
[progress] deadlines 1% inserindo (23/1207)
[progress] cities 0% inserindo (46/5569)
[progress] commerce_committee_taxes 5% inserindo (50/947)
[progress] alerts 28% inserindo (51/181)
[progress] deadlines 2% inserindo (24/1207)
[progress] cities 0% inserindo (47/5569)
[progress] commerce_committee_taxes 5% inserindo (51/947)
[progress] alerts 29% inserindo (52/181)
[progress] deadlines 2% inserindo (25/1207)
[progress] cities 0% inserindo (48/5569)
[progress] commerce_committee_taxes 5% inserindo (52/947)
[progress] deadlines 2% inserindo (26/1207)
[progress] alerts 29% inserindo (53/181)
[progress] cities 0% inserindo (49/5569)
[progress] commerce_committee_taxes 5% inserindo (53/947)
[progress] deadlines 2% inserindo (27/1207)
[progress] alerts 30% inserindo (54/181)
[progress] cities 0% inserindo (50/5569)
[progress] commerce_committee_taxes 5% inserindo (54/947)
[progress] deadlines 2% inserindo (28/1207)
[progress] alerts 30% inserindo (55/181)
[progress] cities 0% inserindo (51/5569)
[progress] deadlines 2% inserindo (29/1207)
[progress] commerce_committee_taxes 5% inserindo (55/947)
[progress] alerts 31% inserindo (56/181)
[progress] cities 0% inserindo (52/5569)
[progress] deadlines 2% inserindo (30/1207)
[progress] commerce_committee_taxes 6% inserindo (56/947)
[progress] alerts 32% inserindo (57/181)
[progress] cities 0% inserindo (53/5569)
[progress] deadlines 2% inserindo (31/1207)
[progress] commerce_committee_taxes 6% inserindo (57/947)
[progress] alerts 32% inserindo (58/181)
[progress] cities 0% inserindo (54/5569)
[progress] deadlines 2% inserindo (32/1207)
[progress] commerce_committee_taxes 6% inserindo (58/947)
[progress] alerts 33% inserindo (59/181)
[progress] cities 1% inserindo (55/5569)
[progress] deadlines 2% inserindo (33/1207)
[progress] commerce_committee_taxes 6% inserindo (59/947)
[progress] alerts 33% inserindo (60/181)
[progress] cities 1% inserindo (56/5569)
[progress] deadlines 2% inserindo (34/1207)
[progress] alerts 34% inserindo (61/181)
[progress] commerce_committee_taxes 6% inserindo (60/947)
[progress] cities 1% inserindo (57/5569)
[progress] deadlines 2% inserindo (35/1207)
[progress] alerts 34% inserindo (62/181)
[progress] commerce_committee_taxes 6% inserindo (61/947)
[progress] cities 1% inserindo (58/5569)
[progress] deadlines 3% inserindo (36/1207)
[progress] alerts 35% inserindo (63/181)
[progress] commerce_committee_taxes 6% inserindo (62/947)
[progress] cities 1% inserindo (59/5569)
[progress] deadlines 3% inserindo (37/1207)
[progress] alerts 35% inserindo (64/181)
[progress] commerce_committee_taxes 6% inserindo (63/947)
[progress] cities 1% inserindo (60/5569)
[progress] deadlines 3% inserindo (38/1207)
[progress] alerts 36% inserindo (65/181)
[progress] commerce_committee_taxes 6% inserindo (64/947)
[progress] cities 1% inserindo (61/5569)
[progress] deadlines 3% inserindo (39/1207)
[progress] alerts 37% inserindo (66/181)
[progress] commerce_committee_taxes 6% inserindo (65/947)
[progress] cities 1% inserindo (62/5569)
[progress] deadlines 3% inserindo (40/1207)
[progress] commerce_committee_taxes 7% inserindo (66/947)
[progress] alerts 37% inserindo (67/181)
[progress] deadlines 3% inserindo (41/1207)
[progress] cities 1% inserindo (63/5569)
[progress] commerce_committee_taxes 7% inserindo (67/947)
[progress] alerts 38% inserindo (68/181)
[progress] deadlines 3% inserindo (42/1207)
[progress] cities 1% inserindo (64/5569)
[progress] commerce_committee_taxes 7% inserindo (68/947)
[progress] alerts 38% inserindo (69/181)
[progress] deadlines 3% inserindo (43/1207)
[progress] cities 1% inserindo (65/5569)
[progress] commerce_committee_taxes 7% inserindo (69/947)
[progress] alerts 39% inserindo (70/181)
[progress] deadlines 3% inserindo (44/1207)
[progress] cities 1% inserindo (66/5569)
[progress] commerce_committee_taxes 7% inserindo (70/947)
[progress] alerts 39% inserindo (71/181)
[progress] deadlines 3% inserindo (45/1207)
[progress] cities 1% inserindo (67/5569)
[progress] commerce_committee_taxes 7% inserindo (71/947)
[progress] alerts 40% inserindo (72/181)
[progress] deadlines 3% inserindo (46/1207)
[progress] cities 1% inserindo (68/5569)
[progress] commerce_committee_taxes 7% inserindo (72/947)
[progress] alerts 40% inserindo (73/181)
[progress] deadlines 3% inserindo (47/1207)
[progress] cities 1% inserindo (69/5569)
[progress] commerce_committee_taxes 7% inserindo (73/947)
[progress] deadlines 4% inserindo (48/1207)
[progress] alerts 41% inserindo (74/181)
[progress] cities 1% inserindo (70/5569)
[progress] commerce_committee_taxes 7% inserindo (74/947)
[progress] deadlines 4% inserindo (49/1207)
[progress] alerts 41% inserindo (75/181)
[progress] cities 1% inserindo (71/5569)
[progress] commerce_committee_taxes 8% inserindo (75/947)
[progress] deadlines 4% inserindo (50/1207)
[progress] alerts 42% inserindo (76/181)
[progress] cities 1% inserindo (72/5569)
[progress] commerce_committee_taxes 8% inserindo (76/947)
[progress] deadlines 4% inserindo (51/1207)
[progress] alerts 43% inserindo (77/181)
[progress] cities 1% inserindo (73/5569)
[progress] commerce_committee_taxes 8% inserindo (77/947)
[progress] deadlines 4% inserindo (52/1207)
[progress] alerts 43% inserindo (78/181)
[progress] cities 1% inserindo (74/5569)
[progress] commerce_committee_taxes 8% inserindo (78/947)
[progress] deadlines 4% inserindo (53/1207)
[progress] alerts 44% inserindo (79/181)
[progress] cities 1% inserindo (75/5569)
[progress] commerce_committee_taxes 8% inserindo (79/947)
[progress] deadlines 4% inserindo (54/1207)
[progress] alerts 44% inserindo (80/181)
[progress] cities 1% inserindo (76/5569)
[progress] commerce_committee_taxes 8% inserindo (80/947)
[progress] deadlines 4% inserindo (55/1207)
[progress] alerts 45% inserindo (81/181)
[progress] cities 1% inserindo (77/5569)
[progress] commerce_committee_taxes 8% inserindo (81/947)
[progress] deadlines 4% inserindo (56/1207)
[progress] alerts 45% inserindo (82/181)
[progress] cities 1% inserindo (78/5569)
[progress] commerce_committee_taxes 8% inserindo (82/947)
[progress] deadlines 4% inserindo (57/1207)
[progress] alerts 46% inserindo (83/181)
[progress] cities 1% inserindo (79/5569)
[progress] deadlines 4% inserindo (58/1207)
[progress] commerce_committee_taxes 8% inserindo (83/947)
[progress] alerts 46% inserindo (84/181)
[progress] cities 1% inserindo (80/5569)
[progress] deadlines 4% inserindo (59/1207)
[progress] commerce_committee_taxes 8% inserindo (84/947)
[progress] alerts 47% inserindo (85/181)
[progress] cities 1% inserindo (81/5569)
[progress] deadlines 5% inserindo (60/1207)
[progress] commerce_committee_taxes 9% inserindo (85/947)
[progress] alerts 48% inserindo (86/181)
[progress] cities 1% inserindo (82/5569)
[progress] commerce_committee_taxes 9% inserindo (86/947)
[progress] deadlines 5% inserindo (61/1207)
[progress] alerts 48% inserindo (87/181)
[progress] cities 1% inserindo (83/5569)
[progress] commerce_committee_taxes 9% inserindo (87/947)
[progress] deadlines 5% inserindo (62/1207)
[progress] alerts 49% inserindo (88/181)
[progress] cities 1% inserindo (84/5569)
[progress] deadlines 5% inserindo (63/1207)
[progress] commerce_committee_taxes 9% inserindo (88/947)
[progress] alerts 49% inserindo (89/181)
[progress] cities 1% inserindo (85/5569)
[progress] deadlines 5% inserindo (64/1207)
[progress] commerce_committee_taxes 9% inserindo (89/947)
[progress] alerts 50% inserindo (90/181)
[progress] cities 1% inserindo (86/5569)
[progress] deadlines 5% inserindo (65/1207)
[progress] commerce_committee_taxes 9% inserindo (90/947)
[progress] alerts 50% inserindo (91/181)
[progress] cities 1% inserindo (87/5569)
[progress] deadlines 5% inserindo (66/1207)
[progress] commerce_committee_taxes 9% inserindo (91/947)
[progress] alerts 51% inserindo (92/181)
[progress] cities 1% inserindo (88/5569)
[progress] deadlines 5% inserindo (67/1207)
[progress] commerce_committee_taxes 9% inserindo (92/947)
[progress] alerts 51% inserindo (93/181)
[progress] cities 1% inserindo (89/5569)
[progress] deadlines 5% inserindo (68/1207)
[progress] commerce_committee_taxes 9% inserindo (93/947)
[progress] cities 1% inserindo (90/5569)
[progress] alerts 52% inserindo (94/181)
[progress] deadlines 5% inserindo (69/1207)
[progress] commerce_committee_taxes 10% inserindo (94/947)
[progress] cities 1% inserindo (91/5569)
[progress] alerts 53% inserindo (95/181)
[progress] deadlines 5% inserindo (70/1207)
[progress] commerce_committee_taxes 10% inserindo (95/947)
[progress] cities 1% inserindo (92/5569)
[progress] commerce_committee_taxes 10% inserindo (96/947)
[progress] deadlines 5% inserindo (71/1207)
[progress] alerts 53% inserindo (96/181)
[progress] cities 1% inserindo (93/5569)
[progress] commerce_committee_taxes 10% inserindo (97/947)
[progress] deadlines 6% inserindo (72/1207)
[progress] alerts 54% inserindo (97/181)
[progress] cities 1% inserindo (94/5569)
[progress] alerts 54% inserindo (98/181)
[progress] deadlines 6% inserindo (73/1207)
[progress] commerce_committee_taxes 10% inserindo (98/947)
[progress] cities 1% inserindo (95/5569)
[progress] alerts 55% inserindo (99/181)
[progress] deadlines 6% inserindo (74/1207)
[progress] commerce_committee_taxes 10% inserindo (99/947)
[progress] cities 1% inserindo (96/5569)
[progress] alerts 55% inserindo (100/181)
[progress] deadlines 6% inserindo (75/1207)
[progress] commerce_committee_taxes 10% inserindo (100/947)
[progress] cities 1% inserindo (97/5569)
[progress] alerts 56% inserindo (101/181)
[progress] deadlines 6% inserindo (76/1207)
[progress] commerce_committee_taxes 10% inserindo (101/947)
[progress] cities 1% inserindo (98/5569)
[progress] alerts 56% inserindo (102/181)
[progress] deadlines 6% inserindo (77/1207)
[progress] commerce_committee_taxes 10% inserindo (102/947)
[progress] cities 1% inserindo (99/5569)
[progress] alerts 57% inserindo (103/181)
[progress] commerce_committee_taxes 10% inserindo (103/947)
[progress] deadlines 6% inserindo (78/1207)
[progress] cities 1% inserindo (100/5569)
[progress] alerts 58% inserindo (104/181)
[progress] commerce_committee_taxes 11% inserindo (104/947)
[progress] deadlines 6% inserindo (79/1207)
[progress] cities 1% inserindo (101/5569)
[progress] alerts 58% inserindo (105/181)
[progress] commerce_committee_taxes 11% inserindo (105/947)
[progress] deadlines 6% inserindo (80/1207)
[progress] cities 1% inserindo (102/5569)
[progress] alerts 59% inserindo (106/181)
[progress] commerce_committee_taxes 11% inserindo (106/947)
[progress] deadlines 6% inserindo (81/1207)
[progress] cities 1% inserindo (103/5569)
[progress] alerts 59% inserindo (107/181)
[progress] commerce_committee_taxes 11% inserindo (107/947)
[progress] cities 1% inserindo (104/5569)
[progress] deadlines 6% inserindo (82/1207)
[progress] alerts 60% inserindo (108/181)
[progress] commerce_committee_taxes 11% inserindo (108/947)
[progress] cities 1% inserindo (105/5569)
[progress] deadlines 6% inserindo (83/1207)
[progress] alerts 60% inserindo (109/181)
[progress] commerce_committee_taxes 11% inserindo (109/947)
[progress] cities 1% inserindo (106/5569)
[progress] deadlines 7% inserindo (84/1207)
[progress] commerce_committee_taxes 11% inserindo (110/947)
[progress] alerts 61% inserindo (110/181)
[progress] cities 1% inserindo (107/5569)
[progress] deadlines 7% inserindo (85/1207)
[progress] commerce_committee_taxes 11% inserindo (111/947)
[progress] alerts 61% inserindo (111/181)
[progress] cities 1% inserindo (108/5569)
[progress] deadlines 7% inserindo (86/1207)
[progress] commerce_committee_taxes 11% inserindo (112/947)
[progress] alerts 62% inserindo (112/181)
[progress] cities 1% inserindo (109/5569)
[progress] deadlines 7% inserindo (87/1207)
[progress] commerce_committee_taxes 12% inserindo (113/947)
[progress] alerts 62% inserindo (113/181)
[progress] cities 1% inserindo (110/5569)
[progress] deadlines 7% inserindo (88/1207)
[progress] commerce_committee_taxes 12% inserindo (114/947)
[progress] alerts 63% inserindo (114/181)
[progress] cities 2% inserindo (111/5569)
[progress] deadlines 7% inserindo (89/1207)
[progress] commerce_committee_taxes 12% inserindo (115/947)
[progress] alerts 64% inserindo (115/181)
[progress] cities 2% inserindo (112/5569)
[progress] deadlines 7% inserindo (90/1207)
[progress] commerce_committee_taxes 12% inserindo (116/947)
[progress] alerts 64% inserindo (116/181)
[progress] cities 2% inserindo (113/5569)
[progress] deadlines 7% inserindo (91/1207)
[progress] commerce_committee_taxes 12% inserindo (117/947)
[progress] alerts 65% inserindo (117/181)
[progress] cities 2% inserindo (114/5569)
[progress] deadlines 7% inserindo (92/1207)
[progress] commerce_committee_taxes 12% inserindo (118/947)
[progress] alerts 65% inserindo (118/181)
[progress] cities 2% inserindo (115/5569)
[progress] deadlines 7% inserindo (93/1207)
[progress] commerce_committee_taxes 12% inserindo (119/947)
[progress] alerts 66% inserindo (119/181)
[progress] cities 2% inserindo (116/5569)
[progress] deadlines 7% inserindo (94/1207)
[progress] commerce_committee_taxes 12% inserindo (120/947)
[progress] alerts 66% inserindo (120/181)
[progress] cities 2% inserindo (117/5569)
[progress] deadlines 7% inserindo (95/1207)
[progress] commerce_committee_taxes 12% inserindo (121/947)
[progress] alerts 67% inserindo (121/181)
[progress] cities 2% inserindo (118/5569)
[progress] deadlines 8% inserindo (96/1207)
[progress] commerce_committee_taxes 12% inserindo (122/947)
[progress] cities 2% inserindo (119/5569)
[progress] alerts 67% inserindo (122/181)
[progress] deadlines 8% inserindo (97/1207)
[progress] commerce_committee_taxes 13% inserindo (123/947)
[progress] cities 2% inserindo (120/5569)
[progress] alerts 68% inserindo (123/181)
[progress] deadlines 8% inserindo (98/1207)
[progress] commerce_committee_taxes 13% inserindo (124/947)
[progress] cities 2% inserindo (121/5569)
[progress] alerts 69% inserindo (124/181)
[progress] deadlines 8% inserindo (99/1207)
[progress] commerce_committee_taxes 13% inserindo (125/947)
[progress] cities 2% inserindo (122/5569)
[progress] alerts 69% inserindo (125/181)
[progress] deadlines 8% inserindo (100/1207)
[progress] commerce_committee_taxes 13% inserindo (126/947)
[progress] cities 2% inserindo (123/5569)
[progress] alerts 70% inserindo (126/181)
[progress] deadlines 8% inserindo (101/1207)
[progress] commerce_committee_taxes 13% inserindo (127/947)
[progress] cities 2% inserindo (124/5569)
[progress] alerts 70% inserindo (127/181)
[progress] deadlines 8% inserindo (102/1207)
[progress] commerce_committee_taxes 13% inserindo (128/947)
[progress] deadlines 8% inserindo (103/1207)
[progress] alerts 71% inserindo (128/181)
[progress] cities 2% inserindo (125/5569)
[progress] commerce_committee_taxes 13% inserindo (129/947)
[progress] deadlines 8% inserindo (104/1207)
[progress] commerce_committee_taxes 13% inserindo (130/947)
[progress] alerts 71% inserindo (129/181)
[progress] cities 2% inserindo (126/5569)
[progress] deadlines 8% inserindo (105/1207)
[progress] alerts 72% inserindo (130/181)
[progress] cities 2% inserindo (127/5569)
[progress] commerce_committee_taxes 13% inserindo (131/947)
[progress] deadlines 8% inserindo (106/1207)
[progress] cities 2% inserindo (128/5569)
[progress] alerts 72% inserindo (131/181)
[progress] commerce_committee_taxes 14% inserindo (132/947)
[progress] deadlines 8% inserindo (107/1207)
[progress] cities 2% inserindo (129/5569)
[progress] commerce_committee_taxes 14% inserindo (133/947)
[progress] alerts 73% inserindo (132/181)
[progress] deadlines 9% inserindo (108/1207)
[progress] cities 2% inserindo (130/5569)
[progress] commerce_committee_taxes 14% inserindo (134/947)
[progress] alerts 74% inserindo (133/181)
[progress] deadlines 9% inserindo (109/1207)
[progress] cities 2% inserindo (131/5569)
[progress] commerce_committee_taxes 14% inserindo (135/947)
[progress] alerts 74% inserindo (134/181)
[progress] deadlines 9% inserindo (110/1207)
[progress] cities 2% inserindo (132/5569)
[progress] commerce_committee_taxes 14% inserindo (136/947)
[progress] alerts 75% inserindo (135/181)
[progress] deadlines 9% inserindo (111/1207)
[progress] cities 2% inserindo (133/5569)
[progress] alerts 75% inserindo (136/181)
[progress] commerce_committee_taxes 14% inserindo (137/947)
[progress] deadlines 9% inserindo (112/1207)
[progress] cities 2% inserindo (134/5569)
[progress] alerts 76% inserindo (137/181)
[progress] commerce_committee_taxes 14% inserindo (138/947)
[progress] deadlines 9% inserindo (113/1207)
[progress] cities 2% inserindo (135/5569)
[progress] alerts 76% inserindo (138/181)
[progress] commerce_committee_taxes 14% inserindo (139/947)
[progress] deadlines 9% inserindo (114/1207)
[progress] cities 2% inserindo (136/5569)
[progress] alerts 77% inserindo (139/181)
[progress] commerce_committee_taxes 14% inserindo (140/947)
[progress] deadlines 9% inserindo (115/1207)
[progress] cities 2% inserindo (137/5569)
[progress] commerce_committee_taxes 14% inserindo (141/947)
[progress] alerts 77% inserindo (140/181)
[progress] deadlines 9% inserindo (116/1207)
[progress] cities 2% inserindo (138/5569)
[progress] commerce_committee_taxes 15% inserindo (142/947)
[progress] alerts 78% inserindo (141/181)
[progress] deadlines 9% inserindo (117/1207)
[progress] cities 2% inserindo (139/5569)
[progress] commerce_committee_taxes 15% inserindo (143/947)
[progress] alerts 79% inserindo (142/181)
[progress] deadlines 9% inserindo (118/1207)
[progress] cities 2% inserindo (140/5569)
[progress] commerce_committee_taxes 15% inserindo (144/947)
[progress] alerts 79% inserindo (143/181)
[progress] deadlines 9% inserindo (119/1207)
[progress] cities 2% inserindo (141/5569)
[progress] commerce_committee_taxes 15% inserindo (145/947)
[progress] alerts 80% inserindo (144/181)
[progress] deadlines 10% inserindo (120/1207)
[progress] cities 2% inserindo (142/5569)
[progress] commerce_committee_taxes 15% inserindo (146/947)
[progress] alerts 80% inserindo (145/181)
[progress] deadlines 10% inserindo (121/1207)
[progress] cities 2% inserindo (143/5569)
[progress] commerce_committee_taxes 15% inserindo (147/947)
[progress] alerts 81% inserindo (146/181)
[progress] deadlines 10% inserindo (122/1207)
[progress] cities 2% inserindo (144/5569)
[progress] commerce_committee_taxes 15% inserindo (148/947)
[progress] alerts 81% inserindo (147/181)
[progress] deadlines 10% inserindo (123/1207)
[progress] cities 2% inserindo (145/5569)
[progress] commerce_committee_taxes 15% inserindo (149/947)
[progress] alerts 82% inserindo (148/181)
[progress] deadlines 10% inserindo (124/1207)
[progress] cities 2% inserindo (146/5569)
[progress] commerce_committee_taxes 15% inserindo (150/947)
[progress] alerts 82% inserindo (149/181)
[progress] deadlines 10% inserindo (125/1207)
[progress] cities 2% inserindo (147/5569)
[progress] commerce_committee_taxes 16% inserindo (151/947)
[progress] alerts 83% inserindo (150/181)
[progress] deadlines 10% inserindo (126/1207)
[progress] cities 2% inserindo (148/5569)
[progress] commerce_committee_taxes 16% inserindo (152/947)
[progress] alerts 83% inserindo (151/181)
[progress] deadlines 10% inserindo (127/1207)
[progress] cities 2% inserindo (149/5569)
[progress] commerce_committee_taxes 16% inserindo (153/947)
[progress] alerts 84% inserindo (152/181)
[progress] deadlines 10% inserindo (128/1207)
[progress] cities 2% inserindo (150/5569)
[progress] commerce_committee_taxes 16% inserindo (154/947)
[progress] alerts 85% inserindo (153/181)
[progress] deadlines 10% inserindo (129/1207)
[progress] cities 2% inserindo (151/5569)
[progress] commerce_committee_taxes 16% inserindo (155/947)
[progress] alerts 85% inserindo (154/181)
[progress] deadlines 10% inserindo (130/1207)
[progress] cities 2% inserindo (152/5569)
[progress] commerce_committee_taxes 16% inserindo (156/947)
[progress] alerts 86% inserindo (155/181)
[progress] deadlines 10% inserindo (131/1207)
[progress] cities 2% inserindo (153/5569)
[progress] commerce_committee_taxes 16% inserindo (157/947)
[progress] alerts 86% inserindo (156/181)
[progress] deadlines 11% inserindo (132/1207)
[progress] cities 2% inserindo (154/5569)
[progress] commerce_committee_taxes 16% inserindo (158/947)
[progress] alerts 87% inserindo (157/181)
[progress] deadlines 11% inserindo (133/1207)
[progress] cities 2% inserindo (155/5569)
[progress] commerce_committee_taxes 16% inserindo (159/947)
[progress] alerts 87% inserindo (158/181)
[progress] cities 2% inserindo (156/5569)
